review,rating,cleaned_review,sentiment
Good,5,good,positif
mantap,5,mantap,netral
ramah Mas operatornya,5,ramah mas operatornya,netral
Kebanyakan update,1,kebanyakan update,netral
lebih simpel dan mengurangi aktivitas fisik,5,lebih simpel dan mengurangi aktivitas fisik,netral
Ribet,2,ribet,netral
"Ini gmn sih aplikasi, register masuk pake nik dan pass, pas keluar mau login diminta no hp sama pass 6 digit dan ga bisa masuk. Gajelas, gmn mau login lagi setelah regis.",1,ini gmn sih aplikasi register masuk pake nik dan pass pas keluar mau login diminta no hp sama pass  digit dan ga bisa masuk gajelas gmn mau login lagi setelah regis,netral
Terimakasih,5,terimakasih,netral
Saya sudah menggunakan metode pembayaran tapi gagal sudah 2 x mencoba gagal.. Padahal sudh terpotong 2x buat bayar simpan kartu buat metode pembayaran,3,saya sudah menggunakan metode pembayaran tapi gagal sudah  x mencoba gagal padahal sudh terpotong x buat bayar simpan kartu buat metode pembayaran,netral
Bagus,5,bagus,netral
Suka,5,suka,netral
data selalu di tolok padahal sudah ada bukti bpkb ya kok makin di tolak trus...,5,data selalu di tolok padahal sudah ada bukti bpkb ya kok makin di tolak trus,netral
Kenapa jelek banget aplikasinya error terus sekarang.. data sudah benar sesuai semua tetap ditolak 👎 bukan makin bagus tp makin jelek setelah update terbaru,1,kenapa jelek banget aplikasinya error terus sekarang data sudah benar sesuai semua tetap ditolak  bukan makin bagus tp makin jelek setelah update terbaru,netral
siiiiiiipppppp,5,siiiiiiipppppp,netral
Aplikasinya buruk sangat tidak membantu. Bentar bentar update.,1,aplikasinya buruk sangat tidak membantu bentar bentar update,netral
"Mobil ganti baru, mobil lama udah jual BBM nya bio solar, Ganti mobil baru bbm nya pertalit. Bagaimana cara nya",2,mobil ganti baru mobil lama udah jual bbm nya bio solar ganti mobil baru bbm nya pertalit bagaimana cara nya,netral
Aplikasi ribet.. kesalahan sistem terus,1,aplikasi ribet kesalahan sistem terus,netral
Lemot dan susah di akses,5,lemot dan susah di akses,netral
Percuma buat QR klu msh bisa dibobol orang.... Bnyak jga yg tdk sesuai peruntukannya,1,percuma buat qr klu msh bisa dibobol orang bnyak jga yg tdk sesuai peruntukannya,netral
alhamdulillah bermanfaat,5,alhamdulillah bermanfaat,netral
Saldo gopay tidak mau muncul. Disuruh putusin notifnya perbaikan sistem mulu,1,saldo gopay tidak mau muncul disuruh putusin notifnya perbaikan sistem mulu,netral
Hidup ud cukup susah..eh di tambah beli pertalite harus scan barcode2an..tepat sasaran apaan..repotin iy,1,hidup ud cukup susaheh di tambah beli pertalite harus scan barcodeantepat sasaran apaanrepotin iy,netral
ok,5,ok,positif
lebih praktis dan efektif,5,lebih praktis dan efektif,netral
Tolong aplikasi di perbarui Di lengkapi dulu baru buat aplikasi. Aplikasi tidak berguna untuk masyakat cuma bikin mumet aja,1,tolong aplikasi di perbarui di lengkapi dulu baru buat aplikasi aplikasi tidak berguna untuk masyakat cuma bikin mumet aja,netral
"Dipaksa taat, tapi dipersulit. Sekelas bumn punya sistem jelek amat.",1,dipaksa taat tapi dipersulit sekelas bumn punya sistem jelek amat,netral
mudah,5,mudah,netral
"Gak bisa klaim, Keterangan kendaraan ditangguhkan !!!! Padahal biasanya bisa.",1,gak bisa klaim keterangan kendaraan ditangguhkan  padahal biasanya bisa,netral
Mantab aplikasi nya....,5,mantab aplikasi nya,netral
sangat bagus dan mudah.,5,sangat bagus dan mudah,netral
sering lambat kadang log out sndiri,2,sering lambat kadang log out sndiri,netral
lumayan dapat voucher 15rb,5,lumayan dapat voucher rb,netral
Cubo foto STNK buat barcode harus pakai galery Susah buat lansung foto,1,cubo foto stnk buat barcode harus pakai galery susah buat lansung foto,netral
"Payah, ga bisa daftar, kesalahan sistem mulu. Dibenerin tu woi aplikasinya, LOL",1,payah ga bisa daftar kesalahan sistem mulu dibenerin tu woi aplikasinya lol,positif
Sangat membantu dn mudah,5,sangat membantu dn mudah,netral
Mengapa punya saya kemitraan tidak diaktifkan,5,mengapa punya saya kemitraan tidak diaktifkan,netral
aplikasi kek kontl padahal data sudah bener tinggal posting data malah menungggu sistem kan gblg intinya apk ini hanya mempersulit dan subsidinya mempersulit orang,5,aplikasi kek kontl padahal data sudah bener tinggal posting data malah menungggu sistem kan gblg intinya apk ini hanya mempersulit dan subsidinya mempersulit orang,netral
Kok muat ulang terus kenapa ya waktu mau daftar,3,kok muat ulang terus kenapa ya waktu mau daftar,netral
"Apk kacau. Sudah berhasil daftar akun, namun saat pendafaran unit kendaraan tidak bisa. Karena mendapatkan notif ""Pendaftaran Pertalite dikhususkan hanya untuk kendaraan roda 4 (empat), untuk kendaraan roda 2 (dua) dan 3 (tiga) belum diwajibkan untuk melakukan pendaftaran dan tetap dapat melakukan pembelian Pertalite"". Padahal saya sudah memasukan berkali² dihari yg berbeda & no rangka yg sesuai. COBA UNTUK TIM IT / VENDOR APK NYA TOLONG DIBENAHI, PERUSAHAAN BUMN BERASA APK UMKM. TERIMAKASIH",1,apk kacau sudah berhasil daftar akun namun saat pendafaran unit kendaraan tidak bisa karena mendapatkan notif pendaftaran pertalite dikhususkan hanya untuk kendaraan roda  empat untuk kendaraan roda  dua dan  tiga belum diwajibkan untuk melakukan pendaftaran dan tetap dapat melakukan pembelian pertalite padahal saya sudah memasukan berkali² dihari yg berbeda  no rangka yg sesuai coba untuk tim it  vendor apk nya tolong dibenahi perusahaan bumn berasa apk umkm terimakasih,netral
thanks my pertamina,5,thanks my pertamina,positif
Sangat bagus,5,sangat bagus,netral
Good,5,good,positif
Mempersulit rakyat kecil mempermudah orang2 berduit ajah kenapa diindonesia seperti itu sama rakyat kecil udah subsidi ga ada mau beli pertalit masih dipersulit pake barcode2 segala ga semua rakyat kecil bisa buat aplikasi ini.contoh negara Malaysia yg masih memberikan subsidi murah BBM ke rakyat kecil.,1,mempersulit rakyat kecil mempermudah orang berduit ajah kenapa diindonesia seperti itu sama rakyat kecil udah subsidi ga ada mau beli pertalit masih dipersulit pake barcode segala ga semua rakyat kecil bisa buat aplikasi inicontoh negara malaysia yg masih memberikan subsidi murah bbm ke rakyat kecil,netral
"Saya Sudah daftar dengan data yg valid namun di tolak karena Nopol tidak sesuai, padahal nopol sudah benar..sudah kirim email ke cs pertamina belum ada jawaban.... Binggung Alhamdulillah setelah email dan kasih ulasan dapat balasan, akhirnya Pada Tanggal 19 Januari 2025 aplikasi berhasil diverifikasi. Thanks 🙏",5,saya sudah daftar dengan data yg valid namun di tolak karena nopol tidak sesuai padahal nopol sudah benarsudah kirim email ke cs pertamina belum ada jawaban binggung alhamdulillah setelah email dan kasih ulasan dapat balasan akhirnya pada tanggal  januari  aplikasi berhasil diverifikasi thanks,positif
"Mau download barcode aja ribetnya minta ampun, muat halaman mau sampe kapan?",1,mau download barcode aja ribetnya minta ampun muat halaman mau sampe kapan,netral
Aplikasi super ribet,1,aplikasi super ribet,positif
Coba perbaiki lagi aplikasinya. Saya mendaftar kartu debit untuk metode pembayaran sampai beberapa kali tidak bisa.,3,coba perbaiki lagi aplikasinya saya mendaftar kartu debit untuk metode pembayaran sampai beberapa kali tidak bisa,netral
Bagus,2,bagus,netral
Sangat buruk untuk mendaftar sangat sulit dm dipersulit,1,sangat buruk untuk mendaftar sangat sulit dm dipersulit,netral
"Ayolahhh, masa saya lupa password terus saya mau reset password gak bisa terus. Masa muncul terus pop up link kadaluarsa. Coba tanya ke pegawai pertamina di pom, respons nya gak membantu sama sekali, bahkan ada yang kurang banget. Tolong dong solved kasus ini. Cape juga uda 2 bulan lebih benerin ginian gak berhasil terus.",1,ayolahhh masa saya lupa password terus saya mau reset password gak bisa terus masa muncul terus pop up link kadaluarsa coba tanya ke pegawai pertamina di pom respons nya gak membantu sama sekali bahkan ada yang kurang banget tolong dong solved kasus ini cape juga uda  bulan lebih benerin ginian gak berhasil terus,netral
Tidak konek dengan QR bbm,3,tidak konek dengan qr bbm,netral
"Mempersulit di saat urgent isi bahan bakar harus daftar mypertamini,di saat udah daftar berhasil pas login ga bisa mempersulit masyarakat",1,mempersulit di saat urgent isi bahan bakar harus daftar mypertaminidi saat udah daftar berhasil pas login ga bisa mempersulit masyarakat,netral
"Bisa bisanya petugas spbu bilangnya barcode rusak, jadi tertunda mau isi peetalite, mana bbm sdh hampri habis, jadi memperlambat",1,bisa bisanya petugas spbu bilangnya barcode rusak jadi tertunda mau isi peetalite mana bbm sdh hampri habis jadi memperlambat,netral
Gak ngerti cara pakeknya ribet doang,4,gak ngerti cara pakeknya ribet doang,netral
Gagal di buka melulu,1,gagal di buka melulu,netral
good job 👍,5,good job,positif
"you will get many benefits, such as cashback and purchase points",5,you will get many benefits such as cashback and purchase points,positif
Aplikasi selalu muncul tambah unit,1,aplikasi selalu muncul tambah unit,netral
"Terjadi kesalahan pada sistem terus..mohon pencerahannya ini gmana? Saya ud isi data sesuai semuanya..tapi gagal teruss.. Maunya apa sih? Daftar dibikin ribet,mau isi bbm juga diperibet ..aplikasi nya yg bermasalah ato apa nggak tau ini...pusing ..ud coba sampai beribu x tetap aja begitu..hadehhh",3,terjadi kesalahan pada sistem terusmohon pencerahannya ini gmana saya ud isi data sesuai semuanyatapi gagal teruss maunya apa sih daftar dibikin ribetmau isi bbm juga diperibet aplikasi nya yg bermasalah ato apa nggak tau inipusing ud coba sampai beribu x tetap aja begituhadehhh,netral
saya mutasi plat no semua sudah di rubah pas mau cetak QR sesi telah habis trus kenapa di persulit sedangkan pengisian harus ada scand qr,3,saya mutasi plat no semua sudah di rubah pas mau cetak qr sesi telah habis trus kenapa di persulit sedangkan pengisian harus ada scand qr,netral
Cakep,5,cakep,netral
1xw fandyarief68 fffffffc,4,xw fandyarief fffffffc,netral
"Saya sudah melakukan pengajuan hapus akun. Tapi dalam proses, ini udah satu bulan belum selesai selesai gimana solusinya",1,saya sudah melakukan pengajuan hapus akun tapi dalam proses ini udah satu bulan belum selesai selesai gimana solusinya,netral
Ga bisa² daftar subsidi tepat,1,ga bisa² daftar subsidi tepat,netral
"Aplikasi untuk apa? Menyusahkan masyarakat kecil, cara mendaftarkan sulit dan selalu gagal pas ingin mendaftarkan ulang malah katanya nik sudah di daftarkan, untuk apa pemerintah membuat sistem seperti ini hanya menyusahkan saja, bagaimana misalnya orang lagi kepepet ngantar org sakit dijalan pake mobil pribadi kouta tidak ada dan ke pom mengisi minyak kendaraan tidak di layani? Emang perusahaan my pertamina mau bertanggungjawab kalau terjadi satu hal yg tak diinginkan?",1,aplikasi untuk apa menyusahkan masyarakat kecil cara mendaftarkan sulit dan selalu gagal pas ingin mendaftarkan ulang malah katanya nik sudah di daftarkan untuk apa pemerintah membuat sistem seperti ini hanya menyusahkan saja bagaimana misalnya orang lagi kepepet ngantar org sakit dijalan pake mobil pribadi kouta tidak ada dan ke pom mengisi minyak kendaraan tidak di layani emang perusahaan my pertamina mau bertanggungjawab kalau terjadi satu hal yg tak diinginkan,netral
"Dulu gk boleh main hp pada saat ngisi bbm, sekarang terbalik main hp sekalian ngisi bbm,",1,dulu gk boleh main hp pada saat ngisi bbm sekarang terbalik main hp sekalian ngisi bbm,positif
sangat membantu,5,sangat membantu,netral
blum dpt kesback,4,blum dpt kesback,netral
maju terus pantang mundur jangan kabur lari,5,maju terus pantang mundur jangan kabur lari,netral
bagus,5,bagus,netral
Kode registrasi tidak terkitrim. Gimana mau masuk klo begini...,1,kode registrasi tidak terkitrim gimana mau masuk klo begini,netral
Susah bener untuk foto ktpx maksimal 30 MB tpi tdk bsa dr ambil dri galeri hrus langsung,1,susah bener untuk foto ktpx maksimal  mb tpi tdk bsa dr ambil dri galeri hrus langsung,netral
Barcode saya belum keluar juga,1,barcode saya belum keluar juga,netral
"Verifikasi di tolak gegara salah input isi silinder, trus pilih opsi UBAH tetap tidak bisa mengganti dikolom isi silinder yang salah..nunggu berminggu2 ttp tdk bisa. Harus gmn ya??",2,verifikasi di tolak gegara salah input isi silinder trus pilih opsi ubah tetap tidak bisa mengganti dikolom isi silinder yang salahnunggu berminggu ttp tdk bisa harus gmn ya,netral
"Aplikasi buluk tapi perlu, merepotkan",1,aplikasi buluk tapi perlu merepotkan,netral
135 gk guna ribet gk kaih solusi nyebelin,1,gk guna ribet gk kaih solusi nyebelin,netral
"Program aneh, udah 1 setengah bulan nyoba tambah unit selalu error sistem. Dateng ke pombensin orangnya juga ga bisa ngaturnya, terus disuruh hubungi 135 cs Pertamina. Udah dihubungi csnya ngasih saran yg ada di YouTube dah saya coba, saya bilang masih ga bisa langsung ditutup telfon oleh csnya. Padahal program nasional yang wajib untuk semua wni tapi server ga bisa digunain dan ga ada solusi. Korup",1,program aneh udah  setengah bulan nyoba tambah unit selalu error sistem dateng ke pombensin orangnya juga ga bisa ngaturnya terus disuruh hubungi  cs pertamina udah dihubungi csnya ngasih saran yg ada di youtube dah saya coba saya bilang masih ga bisa langsung ditutup telfon oleh csnya padahal program nasional yang wajib untuk semua wni tapi server ga bisa digunain dan ga ada solusi korup,netral
mantap,5,mantap,netral
Saya seorang draifer taxi angkutan darat rodah empat,5,saya seorang draifer taxi angkutan darat rodah empat,netral
mantaap,5,mantaap,netral
Jelaskan lebih jelas apakah subsidi tepat membantu apa mempersulit.,1,jelaskan lebih jelas apakah subsidi tepat membantu apa mempersulit,netral
Ok,5,ok,positif
"sekelas bumn bikin aplikasi aja ribet,sdm rendah bergaji tinggi",1,sekelas bumn bikin aplikasi aja ribetsdm rendah bergaji tinggi,netral
"Website aplikasi belum siap semua. Mau daftar unit selalu notif kegagalan sistem. Udah email ke csnya masih aja gak ada solusi, giliran udah nunggu dua bulan ditanyain lagi baru dijawab ""info dari pic bawah sudah bisa daftar lagi di website"" pas dicoba tetap aja sama gak bisa notif itu terus. Gak beres. Disuru ganti ke prerangkat lain, mau ganti berapa kali lagi udah di 5 hp berbeda + 3 laptop berbeda tetap aja gak bisa, kacau. Oh ll",1,website aplikasi belum siap semua mau daftar unit selalu notif kegagalan sistem udah email ke csnya masih aja gak ada solusi giliran udah nunggu dua bulan ditanyain lagi baru dijawab info dari pic bawah sudah bisa daftar lagi di website pas dicoba tetap aja sama gak bisa notif itu terus gak beres disuru ganti ke prerangkat lain mau ganti berapa kali lagi udah di  hp berbeda   laptop berbeda tetap aja gak bisa kacau oh ll,netral
Aplikasi ini sukses bikin darah tinggi. Nyoba daftar udah 10x belum juga berhasil gegara tiap upload foto stnk selalu kembali ke menu pendaftaran terus.,1,aplikasi ini sukses bikin darah tinggi nyoba daftar udah x belum juga berhasil gegara tiap upload foto stnk selalu kembali ke menu pendaftaran terus,netral
Terlalu sering minta update. Nyebelin,1,terlalu sering minta update nyebelin,netral
bagus bgt,5,bagus bgt,netral
Rada error aplikasinya,5,rada error aplikasinya,netral
Pertamina mantap,5,pertamina mantap,netral
"Jika masalah kita sama kasih rating 1 bintang biar di take down sama google 😎 Mau buat barcode sesuai keinginan pemerintah tapi aktualnya di persulit. Harus ini harus itu ujung ujungnya tetap ngga bisa buat juga. Bener kata bapak presiden "" ruwet """,1,jika masalah kita sama kasih rating  bintang biar di take down sama google  mau buat barcode sesuai keinginan pemerintah tapi aktualnya di persulit harus ini harus itu ujung ujungnya tetap ngga bisa buat juga bener kata bapak presiden  ruwet,negatif
bagus,5,bagus,netral
Lancar,5,lancar,netral
"Aplikasi apa seperti ini, jaman sekarang bukan nya di permudah, isi bensin apa di ribetin seperti ini,, isi bensin harus menggunakan barcode segala, coba seperti dulu enak ga pernah beginian makin hari makin ga jelas.",1,aplikasi apa seperti ini jaman sekarang bukan nya di permudah isi bensin apa di ribetin seperti ini isi bensin harus menggunakan barcode segala coba seperti dulu enak ga pernah beginian makin hari makin ga jelas,netral
"Ini aplikasi sangat buruk ,mau mendaftarkan mobil padahal baru saja belum ada 1 bulan bayar pajak kok mobil nopol regrustrasinya gakasuk ke korlantas,mau di persulit hanya mau memakai fasilitas negara,padahal saya juga warga indonesia tp di persulit..brengsek!!!",1,ini aplikasi sangat buruk mau mendaftarkan mobil padahal baru saja belum ada  bulan bayar pajak kok mobil nopol regrustrasinya gakasuk ke korlantasmau di persulit hanya mau memakai fasilitas negarapadahal saya juga warga indonesia tp di persulitbrengsek,netral
My petamina kok bisa blank. Mau masuk aja gak bisa. Mau daftar aja susah. Muat ulang terus,2,my petamina kok bisa blank mau masuk aja gak bisa mau daftar aja susah muat ulang terus,netral
bagus,5,bagus,netral
user friendly sih aplikasinya. cuma verifikasi kok lama bgt. selebihnya good,4,user friendly sih aplikasinya cuma verifikasi kok lama bgt selebihnya good,positif
Data yang ditulis sudah lengkap dan jelas tetapi verifikasi selalu ditolak. Ubah data sulitnya minta ampun,2,data yang ditulis sudah lengkap dan jelas tetapi verifikasi selalu ditolak ubah data sulitnya minta ampun,netral
Pembayaran di my pertamina lebih praktis dan simple cuman saya kekurangannya tidak bisa menyebutkan nominal full tangki,5,pembayaran di my pertamina lebih praktis dan simple cuman saya kekurangannya tidak bisa menyebutkan nominal full tangki,positif
Ribet amat,1,ribet amat,netral
Ga bisa Meng-klik tombol selanjut nya pada proses penambahan kendaraan..,4,ga bisa mengklik tombol selanjut nya pada proses penambahan kendaraan,netral
"Sayang gak semua pom Pertamina bisa menerima pembayaran dengan aplikasi ini, terutama pom pom yg terdapat di pinggir jalan lintas kota & propinsi. Aplikasi sih bagus dan sangat membantu, pengeluaran dan pemakaian BBM bulanan bisa lebih tau dan diatur dengan melihat dari history penggunaan di aplikasinya. Terima kasih.",3,sayang gak semua pom pertamina bisa menerima pembayaran dengan aplikasi ini terutama pom pom yg terdapat di pinggir jalan lintas kota  propinsi aplikasi sih bagus dan sangat membantu pengeluaran dan pemakaian bbm bulanan bisa lebih tau dan diatur dengan melihat dari history penggunaan di aplikasinya terima kasih,netral
Oke,5,oke,netral
"Tujuan aplikasi ini buat apa yah? Soalnya karyawan nambah terus, tanya aja sih maaf sblmnya",1,tujuan aplikasi ini buat apa yah soalnya karyawan nambah terus tanya aja sih maaf sblmnya,netral
sangat baik respon n transaksinya,5,sangat baik respon n transaksinya,netral
Tak bisa daftar,1,tak bisa daftar,netral
"kesalahan sistem melulu... gimana ini? mau daftar subsidi tepat tidak bisa, bisa jadi ini subsidi kurang tepat 🤔 tolong dikondisikan sistemnya sudah saya ulangi berkali kali via aplikasi maupun website, masih saja kendala pada sistemnya. solusinya bagaimana...",1,kesalahan sistem melulu gimana ini mau daftar subsidi tepat tidak bisa bisa jadi ini subsidi kurang tepat  tolong dikondisikan sistemnya sudah saya ulangi berkali kali via aplikasi maupun website masih saja kendala pada sistemnya solusinya bagaimana,netral
seandainya langsung ada barkodenya biar ngga bulak balik aplikasi..,5,seandainya langsung ada barkodenya biar ngga bulak balik aplikasi,netral
Pelayanan bagud,5,pelayanan bagud,netral
good,5,good,positif
Aplikasi sampah.beberapa kali verifikasi ditolak.aplikasi tidak stabil.pemerintah bisanya bikin rakyat makin susah.tidak gampang ternyata mau mendaftarkan kendaraan sendiri.,1,aplikasi sampahbeberapa kali verifikasi ditolakaplikasi tidak stabilpemerintah bisanya bikin rakyat makin susahtidak gampang ternyata mau mendaftarkan kendaraan sendiri,netral
baik mudahh,4,baik mudahh,netral
"Aplikasi buruk👎🏻👎🏻 verifikasi data asik gangguan sistem, tolonglah di perbaiki aplikasinya",1,aplikasi buruk verifikasi data asik gangguan sistem tolonglah di perbaiki aplikasinya,netral
Sangat membantu,5,sangat membantu,netral
"Selalu terdapat notifikasi muat ulang halaman tapi selalu tidak bisa, ini pada saat pengambilan barcode, setelah disentuh subsidi tepat akan keluar notif seperti itu",1,selalu terdapat notifikasi muat ulang halaman tapi selalu tidak bisa ini pada saat pengambilan barcode setelah disentuh subsidi tepat akan keluar notif seperti itu,netral
"sudah beberapakali coba daftar, kegagalan pada sistem terus.. mohon diperbaiki lagi",1,sudah beberapakali coba daftar kegagalan pada sistem terus mohon diperbaiki lagi,netral
Mantap,5,mantap,netral
"Aplikasi Taik lah,, data stnk bpkb plat nomor dan ktp sangat jelas tapi ditolak dengan alasan data tidak valid...",1,aplikasi taik lah data stnk bpkb plat nomor dan ktp sangat jelas tapi ditolak dengan alasan data tidak valid,netral
GOOD,5,good,positif
OTP was working (WA and SMS). Thanks,4,otp was working wa and sms thanks,positif
bagus,4,bagus,netral
"YANG BENER AJA, SURUH FOTO STNK BUAT SUBSIDI GILIRAN DIFOTO DAN CENTANG LANGSUNG BALIK LAGI DR AWAL SURUH ISI DR AWAL DAN ITU ULANG BERKALI KALI, ISI DI WEBSITE SAMA AJA, BENERIN WOI UDAH JAUH2 KE SAMSAT BUAT BENERIN DATA MASIH ADA AJA YG GK BENER",1,yang bener aja suruh foto stnk buat subsidi giliran difoto dan centang langsung balik lagi dr awal suruh isi dr awal dan itu ulang berkali kali isi di website sama aja benerin woi udah jauh ke samsat buat benerin data masih ada aja yg gk bener,netral
puas kmi,5,puas kmi,netral
"Aplikasi nya bagus, tingkat kan trus tks",5,aplikasi nya bagus tingkat kan trus tks,netral
Mantep kak,5,mantep kak,netral
simple,5,simple,netral
sudah 2 tahun,5,sudah  tahun,netral
Koneksi layanan ad masalah terus sehingga tidak bisa input data dan dokumen untuk pengajuan qrcode my pertamina 😩😩,3,koneksi layanan ad masalah terus sehingga tidak bisa input data dan dokumen untuk pengajuan qrcode my pertamina,netral
Belom coba,5,belom coba,netral
Bikin aplikasi GK jls giliran ada keluhan susah minta ampun...percuma ada Vidio call juga...bilang aj sih telpone biasa.vidio call lama banget anterin ya udh nunggu lama2 di telpone GK jls gela gulita GK ada suara,1,bikin aplikasi gk jls giliran ada keluhan susah minta ampunpercuma ada vidio call jugabilang aj sih telpone biasavidio call lama banget anterin ya udh nunggu lama di telpone gk jls gela gulita gk ada suara,netral
"Aplikasi sampah Tolol bgt, update terus nyusahin Hampir tiap mau isi bensin minta update Alhasil selalu bikin lama di pom Siapa pun yg megang operasional aplikasi ini, sudah pantas di pecat aja Cari yang lebih kompeten Ini sekarang nambah lagi erornya, lagi mau ngisi eh malah ga bisa di scan barcodenya Berkali kali di coba tetep petugasnya bilang ga bisa, suruh nunggu setengah jam coba lagi",1,aplikasi sampah tolol bgt update terus nyusahin hampir tiap mau isi bensin minta update alhasil selalu bikin lama di pom siapa pun yg megang operasional aplikasi ini sudah pantas di pecat aja cari yang lebih kompeten ini sekarang nambah lagi erornya lagi mau ngisi eh malah ga bisa di scan barcodenya berkali kali di coba tetep petugasnya bilang ga bisa suruh nunggu setengah jam coba lagi,netral
Tidak bisa login?,5,tidak bisa login,netral
Gk berguna,1,gk berguna,netral
kumpulkan pointmu,5,kumpulkan pointmu,netral
"kagak bisa upload foto ktp saat pendaftaran, udah klik Oke ttp aja kembali lagi ambil foto, gak jelas. cari solusi kgk ada",1,kagak bisa upload foto ktp saat pendaftaran udah klik oke ttp aja kembali lagi ambil foto gak jelas cari solusi kgk ada,netral
Mantap,5,mantap,netral
Okay 👍,5,okay,positif
sip/mantap,5,sipmantap,netral
Jln.keluar kota,5,jlnkeluar kota,netral
ternyata sekarang terhubung dengan gopay mantap.. Saya dulu sudah pakai aplikasinya cuma dulu ga bisa pakai gopay.. semlm pas isi di pom 31 di Margonda Depok pegawai nya kasih tw langsung saya download langsung di gunakan pakai gopay...,5,ternyata sekarang terhubung dengan gopay mantap saya dulu sudah pakai aplikasinya cuma dulu ga bisa pakai gopay semlm pas isi di pom  di margonda depok pegawai nya kasih tw langsung saya download langsung di gunakan pakai gopay,netral
Recomended,5,recomended,netral
Sangat buruk,1,sangat buruk,netral
"Lewat web ataupun lewat aplikasi, semuanya sama rusak tdk berguna... ""Terjadi kesalahan sistem mohon coba beberapa saat"". 1000X mencoba, tdk ada yg berhasil.. Semua dipersulit, bahkan ngisi bbm pun dipersulit.. Daftarpun dipersulit. Hei dunia...",1,lewat web ataupun lewat aplikasi semuanya sama rusak tdk berguna terjadi kesalahan sistem mohon coba beberapa saat x mencoba tdk ada yg berhasil semua dipersulit bahkan ngisi bbm pun dipersulit daftarpun dipersulit hei dunia,netral
"Pantes ada jasa bikin barcode, bikinnya ribetttttttttttttttt foto KTP dipencet oke balik ke kamera lagi wkwk. Uninstall bayar calo aja 🤏🏻🤣",1,pantes ada jasa bikin barcode bikinnya ribetttttttttttttttt foto ktp dipencet oke balik ke kamera lagi wkwk uninstall bayar calo aja,netral
Aplikasi pemerintah sangat bagus,1,aplikasi pemerintah sangat bagus,netral
"Buat apa bikin aplikasi my Pertamina. Tp GK bisa digunakan di SPBU dgn alasan gangguan,, hapus aja my Pertamina dari play store",1,buat apa bikin aplikasi my pertamina tp gk bisa digunakan di spbu dgn alasan gangguan hapus aja my pertamina dari play store,netral
ok,5,ok,positif
Kenapa setiap daftar selalu gagal? Sudah ber ulang kali daftar tetap gagal,1,kenapa setiap daftar selalu gagal sudah ber ulang kali daftar tetap gagal,netral
"Saya tdk bisa masuk daftar subsidi tepat, aplikasi tdk terbuka pd bagaian tsb.. Ini pertamina pilih bulu kalau gini ceritanya.",1,saya tdk bisa masuk daftar subsidi tepat aplikasi tdk terbuka pd bagaian tsb ini pertamina pilih bulu kalau gini ceritanya,netral
Baik,5,baik,netral
Buat barcode solar gman kak,5,buat barcode solar gman kak,netral
"kasih 4 dulu , soalnya belum semua SPBU bisa pake ini , semoga kedepannya bisa semua SPBU pake apk ini",4,kasih  dulu  soalnya belum semua spbu bisa pake ini  semoga kedepannya bisa semua spbu pake apk ini,netral
"Mobil mewah seperti Alfard, crv, innova dll dapat barcode dan bisa beli pertalite,,",1,mobil mewah seperti alfard crv innova dll dapat barcode dan bisa beli pertalite,netral
Mayan sih,5,mayan sih,netral
aplikasinya tolonglah diperbaikin masa mau daftar my pertamina gak bisa2 uda 2 bulan aplikasinya terdownload diHP kagak bisa2 daftar keterangan gangguan sistem . huufffttt,1,aplikasinya tolonglah diperbaikin masa mau daftar my pertamina gak bisa uda  bulan aplikasinya terdownload dihp kagak bisa daftar keterangan gangguan sistem  huufffttt,netral
Semoga lebih mudah dakses BBM demi pelayanan kami masyarakat indonesia,3,semoga lebih mudah dakses bbm demi pelayanan kami masyarakat indonesia,netral
Untuk qr ngak mau tampil,1,untuk qr ngak mau tampil,netral
"Alhamdulillah sudah instal dan daftar bbm subsidi tepat.awalnya nik sudah tearpakai dan tidak bisa verifikasi email.akhirnya kirim email ke alamat yang di sarankan Alhamdulillah lngsung di balas dan ikuti semua cara2nya agar data diperbaiki.alhamdulillah stelah proses,buka lagi langsung mncul tampilan daftarnya dan lngsung ikuti lngkah.dan siap barcodenya. Ternyata sangat mudah. Terima kasih admin pertamina.",5,alhamdulillah sudah instal dan daftar bbm subsidi tepatawalnya nik sudah tearpakai dan tidak bisa verifikasi emailakhirnya kirim email ke alamat yang di sarankan alhamdulillah lngsung di balas dan ikuti semua caranya agar data diperbaikialhamdulillah stelah prosesbuka lagi langsung mncul tampilan daftarnya dan lngsung ikuti lngkahdan siap barcodenya ternyata sangat mudah terima kasih admin pertamina,netral
Sangat tepat,5,sangat tepat,netral
Baik,5,baik,netral
Jangan sering update,5,jangan sering update,netral
sangattt good nih,5,sangattt good nih,positif
signal hilang ketika pas mau pembayaran lama menunggu nya,1,signal hilang ketika pas mau pembayaran lama menunggu nya,netral
Terimakasih atas kerjasamanya mudah2 an akan lebih baik lagi di bidang teknologi modern,4,terimakasih atas kerjasamanya mudah an akan lebih baik lagi di bidang teknologi modern,positif
